timestep,age,mean,std,mode,2.5%,25%,50%,75%,97.5%
42561,2128.105,3.400244937,1.243724254,3.019232803,1.413232448,2.552874692,3.237690788,4.06612755,6.353415903
42562,2128.155,3.401120988,1.244067626,3.020410414,1.414074941,2.552898194,3.238254759,4.067427395,6.353247909
42563,2128.205,3.401990239,1.244406574,3.021571419,1.414132575,2.551802726,3.23931986,4.067996195,6.353287098
42564,2128.255,3.402858332,1.244747426,3.022555479,1.411968293,2.551850399,3.240521088,4.068727371,6.351585135
42565,2128.305,3.403728574,1.24508828,3.023412777,1.41118429,2.553423356,3.241191624,4.069475469,6.357063729
42566,2128.355,3.404602269,1.245427323,3.024149368,1.410461488,2.55447526,3.243639357,4.071474694,6.360098052
42567,2128.405,3.405472323,1.245766202,3.024707332,1.410899178,2.554524602,3.242926376,4.072878391,6.361539025
42568,2128.455,3.406340074,1.246112212,3.025202846,1.408862578,2.554793801,3.244285462,4.073302494,6.360300049
42569,2128.505,3.407204369,1.246463098,3.025705722,1.410111601,2.555291269,3.2461311,4.074370932,6.364191292
42570,2128.555,3.408066067,1.246812783,3.026070314,1.409321524,2.554854094,3.248327643,4.077469331,6.364511255
42571,2128.605,3.408929027,1.247161989,3.026223076,1.412055958,2.555065509,3.249894832,4.079123366,6.363491577
42572,2128.655,3.409789427,1.247511708,3.02625316,1.409203831,2.554272826,3.251412139,4.08126129,6.372893515
42573,2128.705,3.41065248,1.247858446,3.026187728,1.406599373,2.554407196,3.252413284,4.081958072,6.361183918
42574,2128.755,3.411516395,1.248203314,3.025951575,1.405678109,2.553869441,3.254033483,4.081783993,6.359924032
42575,2128.805,3.412379813,1.248541424,3.025569092,1.403943678,2.555217575,3.255053967,4.08319302,6.359129764
42576,2128.855,3.413239292,1.248869163,3.02500398,1.4038621,2.555772322,3.256074539,4.085549629,6.357793787
42577,2128.905,3.414101668,1.249197016,3.024420267,1.403302454,2.558143062,3.257277848,4.08568241,6.356805882
42578,2128.955,3.41496176,1.249519311,3.023680608,1.404395136,2.558091534,3.258279551,4.087452306,6.367536333
42579,2129.005,3.415821584,1.249839074,3.022816239,1.405311726,2.56055132,3.259223893,4.089148845,6.378072452
42580,2129.055,3.416683201,1.250158906,3.021784472,1.406149255,2.561723341,3.260156968,4.091381461,6.390779247
42581,2129.105,3.417545845,1.250483382,3.020673389,1.406845417,2.562289187,3.261403223,4.092305505,6.396315944
42582,2129.155,3.418407703,1.250803565,3.019487072,1.406307242,2.563087171,3.262510713,4.093915184,6.398004467
42583,2129.205,3.419268195,1.251127793,3.01833036,1.407699177,2.562744234,3.262299057,4.093420687,6.399537092
42584,2129.255,3.420126896,1.251452924,3.017321009,1.408414775,2.565149806,3.262767026,4.095270138,6.392548232
42585,2129.305,3.42098822,1.251777479,3.01637346,1.409184199,2.565857596,3.262986529,4.09638825,6.385559372
42586,2129.355,3.421848191,1.252094711,3.015488068,1.407181029,2.56643661,3.264208472,4.09602358,6.385878886
42587,2129.405,3.422703702,1.252407152,3.01476475,1.408153529,2.567226556,3.264727406,4.096563625,6.403483219
42588,2129.455,3.423555933,1.252715009,3.014278323,1.410563069,2.567673401,3.26515813,4.100742847,6.403858663
42589,2129.505,3.424406537,1.253020761,3.013751949,1.411720208,2.5669816,3.266232871,4.102011394,6.401371892
